Date,Description,Amount,Type
2022-02-14,Amazon Prime,5530,debit
2024-03-31,Investment Return,10677,credit
2023-06-19,Electricity Bill,402,debit
2022-09-23,Medical Pharmacy,1790,debit
2022-04-30,Bookstore,5589,debit
2022-10-26,Flipkart Sale,9966,debit
2024-02-18,IRCTC Train Booking,6156,debit
2022-02-06,Bonus,33486,credit
2022-11-24,Tuition Fee,9605,debit
2022-10-17,ATM Withdrawal,3535,debit
2022-01-31,Bus Pass Recharge,7190,debit
2023-12-16,Insurance Premium,4709,debit
2023-08-17,Netflix Subscription,5761,debit
2023-06-18,Exam Fee,439,debit
2023-03-08,Freelance Payment,5494,credit
2023-11-02,Starbucks Coffee,3175,debit
2023-11-06,Flipkart Sale,5487,debit
2022-01-24,Uber Ride,8065,debit
2022-02-09,Exam Fee,364,debit
2023-03-09,ATM Withdrawal,1908,debit
2024-02-29,YouTube Premium,9930,debit
2023-06-29,Mutual Fund SIP,2846,debit
2023-11-17,Clothing Store,1310,debit
2022-11-30,Spotify Subscription,7033,debit
2023-11-28,Amazon Shopping,6278,debit
2023-07-05,Insurance Premium,8689,debit
2022-02-11,Gift Purchase,2999,debit
2023-07-18,Exam Fee,9207,debit
2022-01-17,Ola Cabs,8449,debit
2023-10-15,Starbucks Coffee,4728,debit
2023-10-26,Bonus,38489,credit
2022-06-02,Bonus,19235,credit
2022-10-07,Freelance Payment,34613,credit
2023-10-29,Mutual Fund SIP,8594,debit
2023-09-16,Ola Cabs,8780,debit
2022-09-11,Exam Fee,1496,debit
2022-10-19,IRCTC Train Booking,8402,debit
2023-12-25,Amusement Park,7510,debit
2022-04-06,YouTube Premium,4850,debit
2022-09-24,Mutual Fund SIP,7096,debit
2023-05-14,Gift Purchase,2037,debit
2022-12-02,Fuel Station,2137,debit
2022-01-31,Cafe Coffee Day,3368,debit
2023-04-08,Mutual Fund SIP,4767,debit
2023-04-11,Investment Return,46860,credit
2022-07-26,Phone Recharge,3228,debit
2023-12-25,Exam Fee,106,debit
2022-07-11,YouTube Premium,4065,debit
2024-01-19,Loan EMI,2257,debit
2022-03-26,Mutual Fund SIP,8952,debit
2022-07-31,Salary,59048,credit
2022-02-04,Concert Ticket,5814,debit
2022-10-29,Swiggy Food,7649,debit
2022-07-03,Clothing Store,7021,debit
2023-01-19,Ola Cabs,1566,debit
2022-09-30,Amazon Shopping,9841,debit
2024-01-24,Investment Return,8632,credit
2023-01-15,Water Bill,3524,debit
2022-02-15,Bus Pass Recharge,6640,debit
2023-01-14,Domino's Pizza,632,debit
2023-12-29,Water Bill,6330,debit
2023-06-11,Flipkart Sale,7076,debit
2023-04-18,Gift Purchase,8203,debit
2023-12-21,Amazon Prime,8130,debit
2022-02-28,IRCTC Train Booking,4151,debit
2022-07-01,Rent Payment,3241,debit
2022-01-31,Insurance Premium,4377,debit
2024-01-20,Insurance Premium,5691,debit
2023-11-17,Tuition Fee,4325,debit
2023-06-25,Bookstore,7442,debit
2023-02-20,Fuel Station,7127,debit
2022-05-24,Doctor Visit,9739,debit
2022-12-25,Online Course,2096,debit
2023-12-20,ATM Withdrawal,1779,debit
2023-01-26,Exam Fee,2076,debit
2023-10-26,Exam Fee,6389,debit
2022-10-21,Coworking Space Rent,7552,debit
2022-08-04,Exam Fee,4100,debit
2022-10-29,Uber Ride,1772,debit
2023-04-08,Credit Card Bill,897,debit
2022-04-19,Cinema Ticket,9976,debit
2024-01-03,Online Course,3351,debit
2022-05-31,Amusement Park,7141,debit
2023-05-30,Tuition Fee,8836,debit
2023-12-09,Amazon Prime,5667,debit
2022-04-12,Bonus,10681,credit
2024-01-21,Fuel Station,2223,debit
2024-01-10,Doctor Visit,3718,debit
2024-01-17,Water Bill,9675,debit
2022-10-14,Salary,56886,credit
2022-03-16,Concert Ticket,159,debit
2022-04-25,Phone Recharge,1405,debit
2024-01-15,Clothing Store,6893,debit
2022-01-12,Mutual Fund SIP,2809,debit
2022-06-11,Amazon Shopping,8576,debit
2023-01-03,Bonus,67005,credit
2024-01-03,Mobile Accessories,5673,debit
2023-07-20,Pet Grooming,8290,debit
2022-12-30,Amazon Prime,1039,debit
2022-01-18,Insurance Premium,8239,debit
2022-07-21,Credit Card Bill,9310,debit
2024-03-01,Amusement Park,2017,debit
2022-07-13,Concert Ticket,221,debit
2023-11-11,Phone Recharge,157,debit
2024-03-26,Clothing Store,7987,debit
2022-04-26,Salary,49701,credit
2022-03-12,ATM Withdrawal,6532,debit
2022-03-14,Salary,67971,credit
2024-03-12,YouTube Premium,8953,debit
2022-12-21,Online Course,2603,debit
2023-06-05,Water Bill,9674,debit
2024-02-14,Swiggy Food,8761,debit
2023-01-02,Salary,11036,credit
2022-07-17,Coworking Space Rent,4047,debit
2022-06-03,Doctor Visit,3599,debit
2024-03-28,Spotify Subscription,3425,debit
2023-01-30,Amazon Prime,3184,debit
2023-07-18,Coworking Space Rent,7419,debit
2022-11-28,Medical Consultation,9054,debit
2022-05-11,Exam Fee,6067,debit
2022-02-11,Amusement Park,1133,debit
2023-05-23,Restaurant Bill,1277,debit
2024-03-16,Rent Payment,3205,debit
2023-10-05,Cinema Ticket,2657,debit
2023-08-04,Coworking Space Rent,7937,debit
2022-08-08,Investment Return,42991,credit
2022-02-15,Phone Recharge,1347,debit
2022-05-31,Investment Return,27644,credit
2023-02-07,Netflix Subscription,3819,debit
2023-07-24,Restaurant Bill,1730,debit
2022-05-05,Mutual Fund SIP,2394,debit
2023-10-18,Coworking Space Rent,2876,debit
2023-07-12,Electricity Bill,8464,debit
2023-07-19,Amusement Park,8567,debit
2022-03-18,Coworking Space Rent,5731,debit
2022-03-31,Amusement Park,3033,debit
2023-07-13,Mobile Accessories,1390,debit
2022-11-02,Insurance Premium,1873,debit
2023-04-19,Water Bill,5438,debit
2022-01-12,Amusement Park,8340,debit
2023-04-13,Home Cleaning Services,9148,debit
2022-06-20,Cinema Ticket,2574,debit
2024-03-24,Bonus,55703,credit
2024-02-27,Netflix Subscription,1347,debit
2022-07-14,Ola Cabs,9786,debit
2022-03-12,Mutual Fund SIP,9693,debit
2023-11-27,Spotify Subscription,3864,debit
2023-05-27,IRCTC Train Booking,2247,debit
2023-05-02,Concert Ticket,8745,debit
2022-03-17,Spotify Subscription,1847,debit
2023-01-12,Bonus,65038,credit
2024-01-14,Swiggy Food,6934,debit
2022-02-18,Electricity Bill,2774,debit
2022-07-27,Flipkart Sale,1708,debit
2022-10-29,Online Course,9499,debit
2022-11-12,Netflix Subscription,5278,debit
2023-12-10,Insurance Premium,9061,debit
2023-04-13,Freelance Payment,45732,credit
2022-11-13,Credit Card Bill,9683,debit
2023-10-08,Coworking Space Rent,2021,debit
2022-01-27,Online Course,9292,debit
2023-01-09,Hospital Bill,9090,debit
2023-07-16,Netflix Subscription,2861,debit
2024-03-21,Coworking Space Rent,1101,debit
2024-02-16,Credit Card Bill,6865,debit
2023-07-16,Spotify Subscription,6107,debit
2022-09-09,Credit Card Bill,6789,debit
2023-07-28,Internet Bill,6843,debit
2023-07-25,Loan EMI,1674,debit
2022-11-26,Coworking Space Rent,7894,debit
2023-06-06,Clothing Store,7244,debit
2023-01-10,Rent Payment,3483,debit
2023-10-27,Ola Cabs,3524,debit
2022-03-04,Phone Recharge,3247,debit
2022-09-27,Amusement Park,2025,debit
2024-02-21,Phone Recharge,6024,debit
2022-08-23,Insurance Premium,4585,debit
2023-05-12,Pet Vaccination,2232,debit
2023-04-12,Insurance Premium,1915,debit
2023-09-28,Pet Vaccination,4253,debit
2023-01-09,Concert Ticket,5262,debit
2023-09-29,Phone Recharge,8141,debit
2022-12-29,Cinema Ticket,7036,debit
2024-02-01,Online Course,9267,debit
2022-09-08,Tuition Fee,9876,debit
2023-09-25,Concert Ticket,8107,debit
2023-07-23,Starbucks Coffee,8476,debit
2023-11-20,Concert Ticket,7593,debit
2022-06-10,Fuel Station,8400,debit
2023-08-19,Clothing Store,9443,debit
2023-03-31,Cinema Ticket,8361,debit
2022-02-16,Loan EMI,3055,debit
2024-02-16,Medical Pharmacy,8253,debit
2023-06-29,Rent Payment,2123,debit
2022-05-19,Coworking Space Rent,5417,debit
2023-04-21,Domino's Pizza,3262,debit
2023-07-15,Cinema Ticket,2885,debit
2022-11-07,Freelance Payment,48213,credit
2023-06-07,Medical Consultation,5365,debit
2022-03-30,Tuition Fee,6916,debit
2024-01-15,Insurance Premium,3628,debit
2024-03-02,Hospital Bill,3471,debit
2023-01-25,Fuel Station,7312,debit
2023-10-23,Loan EMI,3664,debit
2023-01-29,Medical Pharmacy,4823,debit
2024-01-17,Bookstore,9539,debit
2024-03-15,Exam Fee,5203,debit
2023-10-19,Bus Pass Recharge,9196,debit
2022-02-20,Rent Payment,7399,debit
2023-09-01,Rent Payment,5988,debit
2023-07-07,Salary,9820,credit
2022-05-14,Phone Recharge,6629,debit
2022-07-18,Mutual Fund SIP,2472,debit
2022-10-18,Doctor Visit,3826,debit
2022-09-27,Zomato Order,4862,debit
2022-01-31,Phone Recharge,8310,debit
2023-10-19,Coworking Space Rent,2798,debit
2022-09-03,Amusement Park,2232,debit
2023-03-02,Medical Consultation,1988,debit
2023-06-25,Amazon Prime,7040,debit
2022-06-08,Gift Purchase,869,debit
2023-08-31,Fuel Station,8776,debit
2023-11-27,Freelance Payment,15991,credit
2022-10-22,Phone Recharge,7380,debit
2023-04-25,Rent Payment,5512,debit
2022-12-03,Restaurant Bill,2542,debit
2024-03-05,Investment Return,61770,credit
2022-06-22,Hospital Bill,7983,debit
2024-02-28,Gift Purchase,695,debit
2024-02-25,Internet Bill,5963,debit
2023-12-06,Amusement Park,288,debit
2024-02-11,Tuition Fee,7650,debit
2022-07-06,Phone Recharge,7360,debit
2022-03-28,Concert Ticket,8692,debit
2024-03-07,Netflix Subscription,1108,debit
2022-01-29,Spotify Subscription,4444,debit
2024-02-12,Bus Pass Recharge,467,debit
2022-12-31,Loan EMI,5152,debit
2023-04-24,Bonus,64246,credit
2024-02-21,Amazon Prime,9504,debit
2022-08-18,Water Bill,9833,debit
2022-06-04,Rent Payment,6002,debit
2023-03-09,Cinema Ticket,9769,debit
2023-07-29,Freelance Payment,65659,credit
2023-05-17,Ola Cabs,8408,debit
2022-04-16,Hospital Bill,5761,debit
2022-10-24,Water Bill,4417,debit
2022-06-18,Online Course,5458,debit
2022-05-21,Amusement Park,5289,debit
2022-03-13,Flipkart Sale,924,debit
2022-02-07,Loan EMI,6963,debit
2022-10-15,Phone Recharge,9893,debit
2023-03-10,Bonus,42539,credit
2023-09-21,Exam Fee,484,debit
2022-04-24,Cinema Ticket,9023,debit
2023-03-02,Swiggy Food,8623,debit
2023-12-24,Tuition Fee,5404,debit
2023-03-27,Amazon Prime,787,debit
2023-05-07,Cinema Ticket,5139,debit
2023-03-28,Internet Bill,5889,debit
2022-12-27,Investment Return,10164,credit
2024-01-11,Gift Purchase,9704,debit
2022-04-03,Amazon Prime,8776,debit
2023-01-26,Investment Return,57911,credit
2022-03-07,IRCTC Train Booking,6830,debit
2024-02-12,Doctor Visit,8806,debit
2022-09-07,Coworking Space Rent,5384,debit
2024-01-30,YouTube Premium,5692,debit
2022-09-15,Swiggy Food,5973,debit
2023-03-19,Netflix Subscription,937,debit
2023-07-23,Bookstore,4973,debit
2022-07-13,Bonus,32744,credit
2023-05-18,Amazon Prime,1146,debit
2024-01-06,Loan EMI,8110,debit
2023-01-18,Insurance Premium,3114,debit
2024-02-16,Bonus,64464,credit
2023-06-28,Clothing Store,955,debit
2022-10-03,Hospital Bill,2347,debit
2024-03-23,Medical Consultation,8182,debit
2022-01-22,Internet Bill,1670,debit
2022-08-18,Tuition Fee,8839,debit
2024-03-30,Investment Return,68064,credit
2022-10-05,Concert Ticket,9046,debit
2023-09-19,Ola Cabs,5909,debit
2023-04-06,Medical Consultation,5004,debit
2022-01-07,Online Course,8411,debit
2023-03-30,Swiggy Food,8801,debit
2024-01-20,Starbucks Coffee,8389,debit
2022-07-13,Amusement Park,4690,debit
2022-11-03,Medical Consultation,9266,debit
2022-03-17,Netflix Subscription,4778,debit
2022-05-21,Flipkart Sale,3986,debit
2022-11-29,Electricity Bill,5506,debit
2023-01-13,Online Course,7353,debit
2023-08-23,YouTube Premium,295,debit
2023-06-30,Hospital Bill,1948,debit
2022-12-20,Medical Pharmacy,4863,debit
2022-12-02,ATM Withdrawal,5177,debit
2022-12-19,Loan EMI,3839,debit
2023-02-15,Electricity Bill,5663,debit
2022-05-13,Zomato Order,5055,debit
2023-06-13,Medical Consultation,4273,debit
2023-05-20,IRCTC Train Booking,4145,debit
2022-09-01,Rent Payment,4648,debit
2024-02-10,Fuel Station,4961,debit
2023-11-08,Freelance Payment,69874,credit
2022-11-04,Concert Ticket,7051,debit
2023-01-27,Zomato Order,442,debit
2023-09-30,Loan EMI,778,debit
2023-06-01,Coworking Space Rent,690,debit
2022-08-14,Concert Ticket,4417,debit
2022-11-06,Bookstore,4380,debit
2023-12-30,Rent Payment,548,debit
2022-01-18,Pet Vaccination,8500,debit
2023-03-06,Cafe Coffee Day,8713,debit
2024-01-15,Loan EMI,3961,debit
2023-09-12,Spotify Subscription,5431,debit
2023-06-21,Hospital Bill,2324,debit
2023-08-25,Cinema Ticket,3191,debit
2023-10-20,ATM Withdrawal,2438,debit
2024-01-27,Phone Recharge,5921,debit
2023-08-19,Spotify Subscription,5407,debit
2022-02-26,Medical Consultation,361,debit
2022-04-27,Pet Vaccination,5908,debit
2022-10-16,Water Bill,2774,debit
2022-07-28,Flipkart Sale,5018,debit
2024-01-01,Water Bill,8714,debit
2022-11-17,Insurance Premium,4679,debit
2022-04-26,Exam Fee,7443,debit
2022-02-27,Pet Grooming,3046,debit
2023-07-05,Mobile Accessories,8934,debit
2023-04-06,Coworking Space Rent,4324,debit
2022-06-12,Amusement Park,306,debit
2022-07-27,Coworking Space Rent,9678,debit
2022-10-14,Hospital Bill,4505,debit
2024-03-06,Loan EMI,3006,debit
2022-11-16,Investment Return,28049,credit
2022-03-14,Uber Ride,4873,debit
2022-11-13,Pet Grooming,6352,debit
2022-06-03,Online Course,218,debit
2022-02-06,Insurance Premium,5271,debit
2023-12-03,Amazon Shopping,2467,debit
2022-12-21,Doctor Visit,3212,debit
2023-07-09,Online Course,226,debit
2023-12-23,Mobile Accessories,5413,debit
2022-03-05,Exam Fee,6975,debit
2023-01-13,Medical Consultation,1713,debit
2022-04-23,Medical Consultation,7241,debit
2022-07-25,Clothing Store,9738,debit
2022-08-20,Coworking Space Rent,148,debit
2023-10-04,Swiggy Food,5530,debit
2024-02-12,Amazon Prime,8097,debit
2024-01-07,Cinema Ticket,9293,debit
2023-11-26,Online Course,6652,debit
2023-12-07,Coworking Space Rent,2101,debit
2023-01-08,Amusement Park,4337,debit
2023-10-24,Salary,61808,credit
2024-03-22,Investment Return,31779,credit
2023-01-23,Pet Vaccination,7751,debit
2023-01-08,Starbucks Coffee,1930,debit
2022-10-07,IRCTC Train Booking,5114,debit
2022-10-24,Uber Ride,152,debit
2022-03-07,Netflix Subscription,5949,debit
2022-12-22,Hospital Bill,8543,debit
2023-01-02,Swiggy Food,7311,debit
2023-08-27,Hospital Bill,7918,debit
2022-09-16,Bonus,40903,credit
2023-08-27,Doctor Visit,6744,debit
2022-07-26,Bus Pass Recharge,5512,debit
2023-08-13,Credit Card Bill,5566,debit
2023-04-05,Amazon Prime,3299,debit
2023-01-04,Ola Cabs,6556,debit
2022-03-21,Amusement Park,4333,debit
2022-12-10,Doctor Visit,9606,debit
2024-01-13,Medical Consultation,4798,debit
2023-05-02,Ola Cabs,6622,debit
2023-02-09,Domino's Pizza,2028,debit
2022-08-10,Phone Recharge,3482,debit
2023-07-05,Rent Payment,8303,debit
2022-08-08,Mutual Fund SIP,1163,debit
2023-02-11,Bookstore,9755,debit
2023-08-01,Bonus,39718,credit
2023-12-02,Home Cleaning Services,5636,debit
2023-04-25,Bonus,36924,credit
2023-10-09,Clothing Store,2110,debit
2023-11-23,Cafe Coffee Day,458,debit
2022-02-25,Hospital Bill,4830,debit
2022-06-26,Online Course,5570,debit
2024-02-22,Mutual Fund SIP,9867,debit
2023-09-30,Coworking Space Rent,7934,debit
2022-04-22,Swiggy Food,3918,debit
2022-11-16,Coworking Space Rent,4732,debit
2022-09-01,Medical Pharmacy,9651,debit
2022-02-13,ATM Withdrawal,3861,debit
2023-12-04,Uber Ride,7488,debit
2022-05-10,Medical Consultation,1145,debit
2022-09-14,Online Course,2919,debit
2023-10-28,Netflix Subscription,6814,debit
2022-12-17,Insurance Premium,9476,debit
2023-02-18,Investment Return,61024,credit
2022-10-27,Water Bill,5219,debit
2022-06-14,Mobile Accessories,9903,debit
2023-04-10,Insurance Premium,1324,debit
2022-01-10,Insurance Premium,699,debit
2022-07-15,Phone Recharge,5611,debit
2023-11-20,Fuel Station,4846,debit
2022-08-18,Exam Fee,5031,debit
2023-03-09,Water Bill,136,debit
2022-07-10,Amazon Shopping,8423,debit
2022-12-19,Insurance Premium,7774,debit
2022-01-30,Flipkart Sale,1416,debit
2022-01-27,ATM Withdrawal,7141,debit
2023-04-03,Phone Recharge,4947,debit
2023-12-31,IRCTC Train Booking,5894,debit
2022-06-29,Cinema Ticket,1162,debit
2022-03-14,Coworking Space Rent,8785,debit
2022-06-29,Phone Recharge,872,debit
2024-01-11,Mutual Fund SIP,1873,debit
2022-06-10,Tuition Fee,9725,debit
2022-12-06,Ola Cabs,7726,debit
2024-02-13,Salary,14921,credit
2022-09-06,Flipkart Sale,4563,debit
2022-03-19,Bus Pass Recharge,6899,debit
2022-02-13,Amusement Park,5089,debit
2023-10-01,Investment Return,51943,credit
2023-12-20,Coworking Space Rent,6624,debit
2023-03-05,YouTube Premium,7486,debit
2022-07-11,Amazon Prime,7715,debit
2022-01-02,Cafe Coffee Day,6078,debit
2023-06-02,Hospital Bill,6163,debit
2023-08-13,Spotify Subscription,4096,debit
2023-05-09,Water Bill,3701,debit
2023-08-30,Exam Fee,3400,debit
2022-06-05,Amazon Shopping,5906,debit
2022-01-18,Salary,68684,credit
2023-08-09,Doctor Visit,6591,debit
2023-01-31,Online Course,4234,debit
2023-04-26,Cafe Coffee Day,5326,debit
